What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Neutral,,,5,4,3,2,1,Somewhat uncomfortable,I don't mind giving generic information but I balk at having personal information recorded.,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,"Ideally, my password will be immediately reset.",I envision receiving my balance information immediately.,"Quickly. If I can't navigate the home page, then it's their fault because it should be very easy."
25-34,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To place an order or make a purchase,,Always prefer a live agent,Terrible,No,Extremely easy,,Talking life is always easy because you can have a communication between two people. We were raised to talk things out.,1,3,5,4,2,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Talking is easy when you can get the job done when you're talking to someone one on one human to human.,One on one I always say talk it out with a person one on one you cannot speak to an automated system. At least not well.,I always talk about problems like this with a person.
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,"If it could be answered by a computer, I could have found the answer online myself.  I’m callin because I need human assistance ",,5,4,3,2,1,Extremely uncomfortable,Just get a human to answer my calls ,Immediately,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Neutral,Horribly.  And me demanding to talk to a human ,Press button. Receive information ,Horribly.  I demand a human. If it was obvious I would have already found it 
25-34,Male,"$10,000,000.00",Extremely comfortable,In person visit,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Poor,Kind of,Extremely easy,,Seeing them and showing me what to do ,2,5,1,3,4,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Not Comfortable,Not Comfortable,Not good because they can’t show yku what to do ,Not good ,Good 
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To get help with a technical issue or difficulty,,Always prefer a live agent,Delightful,Kind of,Neutral,,,5,4,1,2,3,Extremely comfortable,,Immediately,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I'm very comfortable with digital tools.,None,None
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,Software repair.,1,2,3,4,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Ask google how to do it.,Search on how to do it.,Do it perfectly. 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To make a complaint or give feedback about a product or service,,Prefer a voice assistant but may speak to a live agent,Poor,No,Somewhat difficult,Hardly hear them,,2,3,1,4,5,Somewhat uncomfortable,Waiting on phone ,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Please enter your account email and will send you a reset code,No,Glx
55-65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat easy,,"Describing the nature of the call, issues involved, and what resolution is sought",3,1,4,2,5,Somewhat comfortable,,After multiple attempts with the automated system,Not Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Not Comfortable,"It would seek to verify identity of caller, ask for nature of call, and provide instructions or link for password reset.","It would seek to verify identity of caller, enter security information, and provide sought or one-time link for account balance.",It would ask for nature of call and provide instructions or information for finding company's homepage.
45-54,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Poor,Kind of,Neutral,,,1,5,4,3,2,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,I’d be more comfortable doing this online.  ,They Id and give me the info. Id do this online,It would direct me to page 
45-54,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,"They don’t understand what I am saying, the offer solutions I have already tried, hang up.",,2,4,1,5,3,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable," Say I need one, they send an email or text link for reset.  They wait and ask if worked then press number or something to indicate done.  If not work, transfer to human.",Press # for account balance,"No idea, I wouldn’t use virtual assistant for this, seems off"
35-44,Female,"$10,000,000.00",Extremely comfortable,Social media messaging,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,It is very good,2,3,4,5,1,Extremely comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,It is very much,It is very good,I like it so much
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Kind of,Somewhat easy,,"They are available 24/7, easy to chat with them whenever it is convenient for me, quick responses",4,3,1,5,2,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,"Resetting my password through a voice assistant is convenient and easy, activating with a wake word, verifying identity, then the password reset process","Activating the voice assistant, authentication, confirming identity, retrieving account balance information","Activating the assistant, follow up questions, it should browse the company's website then"
25-34,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Company and issue while you are in my prayers and thoughts and I have to be at the,5,1,2,3,4,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Forgot password for my computer is my resume for your kind perusal,Because the last week of March I was just wondering if I could get the,The best way home from the airport now and then but I don't think
45-54,Female,"$1,000,000 - $5,000,000",Extremely uncomfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,Unique situations not available on the automated system options ,,2,3,5,4,1,Extremely uncomfortable,Humans need human interaction ,Immediately,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,Comfortable,Not Comfortable,The same as when it's a human even though it's dehumanizing,Ask me the same questions as a human but they always mess u ,I can't envision this at all
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Extremely difficult,Can’t understand what you want,,3,1,4,5,2,Neutral,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Navigate quickly to correct task and get audio confirmation ,Easily navigate to correct feature and get audio confirmation ,Navigate to correct information from list of options 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To place an order or make a purchase,,Always prefer a live agent,Good,Yes,Extremely easy,,It was easy because most of my concerns were adequately addressed as though it were a human addressing those concerns. ,4,5,3,1,2,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I expect to use my voice to request a password change and the thing done instantly. ,I imagine using my voice input to request account balance check and the system immediately responding to that request. ,I envisage asking the system to carry out some instructions and it immediately adhering. 
25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,Cheek its events that are yet to see if they have ,2,3,4,1,5,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Iron skillet to oven recipe to be a good ,Kyle Larson to do manager is the one with ,Jail inmate list the one 888
45-54,Female,"$10,000,000.00",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Note putting in the notes of conversion we spoke about on the phone. An dont documentation in an i hare when they do that,,1,2,3,4,5,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Neutral,I would ask for a l ive agents because the system dont get it right ,I would requested to speck to some one,When you are doing business always wise so things can turn out have clearly on what you need
25-34,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Online Chat,,A few times a month,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Delightful,Yes,Extremely easy,,The real thing is going back in a few minutes ,1,2,3,4,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I have to go back in the gym ,I’m going back in the office to see ,I just want you in the house 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To make a complaint or give feedback about a product or service,,Prefer a voice assistant but may speak to a live agent,Good,Kind of,Somewhat easy,,The respond part ,2,1,3,4,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,N/A,N/A,N/A
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,4,3,5,1,2,Neutral,,Immediately,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Endless answering and circular conversation ,Ask for account balance and get it,I can navigate on my own
55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To place an order or make a purchase,,Always prefer a live agent,Average,Yes,Somewhat easy,,Usually it involves pressing a number for what you want instead of explaining and that makes the call very quick and uncomplicated mplicated,2,3,1,4,5,Neutral,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Not Comfortable,They give you the usual press a number and you get the option to reset your password. You I say your password press the pound key it tells you to repeat the password you do so and press the pound key again and then the voice assistant returns to tell you your password has been reset,Same basic press the appropriate number for balance you get your balance and end the call,I have no idea
65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,the assistant doesnt seem to understand the question. Most times I have to repeat my request too mant times,,3,2,5,1,4,Somewhat uncomfortable,I am not sure the assitants understand what I am providing,After multiple attempts with the automated system,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,I would think that this could be accomplished very quickly maybe one question,As it does right now an assitant alreay provides this information in all inquiries,I would ask for a direction to complete visiting the home page and the assistant would direct me to the issue
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,There customer care agent are top professional in handling issues on ground,1,4,2,3,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,I get the automatic format of how it is done,I envision it properly with ease,Interaction with it us with confidence
55-65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,It gets confused and I have issues honing in on the issue/problem to select when trying to enter my issue.,,5,3,1,2,4,Somewhat uncomfortable,I never trust that they will get it right.,After multiple attempts with the automated system,Neutral,Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,I would select the option to reset the password and then enter my requested password.,get the correct account and then press the correct option to get the balance.,just let me get to the home page without a lot of instructions.  Possibly at first contact.
65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Neutral,,,4,5,2,3,1,Somewhat uncomfortable,Often still need to repeat it when reaching a live agent.,After trying the automated system once,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I prefer to do it on my own without assistance at all.,Recording of my current balances.,"They might have to take control of my screen, no thank you."
55-65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,No,Somewhat difficult,They don’t seem to understand what I want,,5,1,4,2,3,Neutral,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Saying password reset ,Account balance please,This one is tougher home page help please or technical assistance
25-34,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,It's very informative and innovative technology ,1,3,4,2,5,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,It's very informative and innovative technology ,Very good idea ,It's very informative and innovative technology 
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Not being able to ask certain questions and get answers ,,5,2,4,3,1,Somewhat uncomfortable,Like my privacy ,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Comfortable,Comfortable,I would not use it,Probably would be okay ,Would ot
65,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,"They rarely answer the questions that I want answered.  Invariably, I will talk to a actual person.",,3,4,5,2,1,Somewhat uncomfortable,"Just prefer, my a large margin,  talking to a real live person.",Immediately,Not Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,clear instructions step by step and not a lengthy process.,"That would be easier, I have some comfort level.",easy to understand instructions and no lengthy process.
25-34,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a month,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,It has some answers based on past questions by other customers who had similar issues,4,5,2,3,1,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Much more inspiring ,Very inspiring ,Inspiring 
45-54,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Online Chat,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Yes,Extremely easy,,You have  key words to say  that help  directing  you ,2,3,5,4,1,Extremely comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Giving  me a temporary password ,Asking  balance  and verification  then you can get  your information ,To get information 
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Online Chat,,A few times a month,To ask a question about a product or service,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Somewhat easy,,Just typing or pushing a number ,3,5,2,1,4,Somewhat comfortable,,After trying the automated system once,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Quick and accurate ,Plain and simple ,Faster 
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,The virtual assistant only can answer scripted questions.  If you ask something else the just repeat the scripted answer.,,4,5,2,3,1,Neutral,,After trying the automated system once,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,With confusion,Probably would go OK,It should be easy enough
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Somewhat easy,,Quality assurance ,2,1,3,4,5,Extremely comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Quality assurance ,Quality assurance ,Quality assurance 
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Neutral,,,4,3,5,2,1,Somewhat comfortable,,After trying the automated system once,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,I would ask to speak to a human agent.,Very well.,Very well.
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,I have no problem getting it back,3,4,5,1,2,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Please call me back please please let,We have to get a ,I don know if I have no problem getting it 
25-34,Male,"$10,000,000.00",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Kind of,Neutral,,,1,2,3,4,5,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Please see if this issue is for real and can you find a way to get it back if so please,Thank you so much but no,I would say hey can I please get some assistance please so I can check this out
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To get help with a technical issue or difficulty,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Somewhat easy,,i command and they do it properly.,4,1,2,3,5,Extremely comfortable,,Only if the automated system cannot help me,Comfortable,Not Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,answer question,answering question,command it
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,No,Somewhat difficult,"Seemed like a circular experience - I kept asking the same question and they had some ""canned"" responses that were not addressing the issue(s).  And it just kept happening.  Seems typical when working with virtual assistants.",,4,1,3,5,2,Somewhat uncomfortable,Because of my past experiences where I do not get an answer to my specific question.  ,After trying the automated system once,Neutral,Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not ideal.  I would not feel comfortable saying my password to a machine versus punching in the code with a live person on the other end.,No problem as that's on line and ok with a virtual assistant.,Not a big problem.  Should be okay.
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Terrible,Kind of,Extremely difficult,"they ask if they could send me a text and i say not, because i do not have a cell, and then they ask another question and again ask me if they can test me",,4,5,3,2,1,Extremely uncomfortable,they are not able to change their instructions no matter what i say,Immediately,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,i would hope that it could be done quickly and correctly,i am not sure i would get the correct info,i may or may not get to where i want to go
35-44,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Average,Yes,Somewhat easy,,The response given was made easy ,2,3,4,1,5,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,It will be an informative one,It will be a serious one,It will be a serious talk
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To ask a question about a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,Good for us,1,4,3,2,5,Extremely comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Good at all,Check the balanced,Good
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Kind of,Extremely easy,,To make call and let him to tell what's the matter ,2,4,5,1,3,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,"By command,  i make this",By command ,With say
25-34,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,5,1,4,2,3,Neutral,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Helllo may i get help,Ask clearly,To be awesome
65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,I call with specific problem and it is outside average complaints so assistant is not programmed to let me get to are I need help with. Question is outside its normal database,,3,4,5,2,1,Somewhat comfortable,,After trying the automated system once,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,try to get information to assistant that then allows the reset,normally it involves asst asking me to push a button. normally I do this online with my computer,have not had a voice assistant that could give me the information in a reasonable time while real person handles in less than a minute
25-34,Female,"$10,000,000.00",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,3,4,2,5,1,Neutral,,After trying the automated system once,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Not Comfortable,Neutral,Neutral,if i would,if you do it in detail,Not very good as a real person
25-34,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Kind of,Extremely easy,,So amazing and financial aid office today but I will be in the office tomorrow and,2,3,1,4,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,So amazing and financial aid office today,High quality and the number of the person who was supposed to,So amazing and financial aid office today but
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Neutral,,,1,2,3,4,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Can I reset my password? Great here is my new password,IT all works for me,I like it all ho it is
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Neutral,,,1,4,2,5,3,Neutral,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,It will probably be a good experience,Good,Good
